,target
11902,17023
3400,25281
13042,23827
4540,28929
10024,17878
5584,25730
9966,18102
2652,24357
4786,28840
5225,29219
12175,17249
10967,16476
10592,16683
292,28737
2836,23476
9855,17630
6092,24925
11570,18320
2870,23798
10133,17543
5861,25268
9486,19235
8138,15363
7639,19601
1318,25818
2730,24298
5107,28748
11057,17015
8166,16682
8029,16754
12290,21982
2228,26919
6760,19059
4418,29290
8255,17735
5936,25947
12078,17864
10505,16295
356,28485
10052,17705
11595,18420
837,27122
266,28557
2006,27840
11237,16270
9754,19545
2362,26667
10075,17619
11086,16543
9840,17901
6073,25586
826,27545
10198,17389
4253,28075
6108,24707
11988,17114
6791,21425
1441,26401
3066,25003
12123,17596
2748,24736
12061,17611
7438,21661
3061,24704
7628,20017
7551,20649
11278,16816
1963,27704
3125,26331
10349,17402
11668,18420
1127,28059
8253,17670
10610,16968
9792,19292
8745,20828
7911,17799
12047,17475
11577,18345
1543,25700
3263,24781
9148,19632
8788,20349
2268,27540
6832,21854
6956,21110
11708,18077
132,27181
12611,18902
10521,16344
603,29482
8028,16933
7696,19709
393,29327
12329,21544
9527,18990
6253,23686
3928,26480
5639,26053
4789,28864
11679,18202
6693,22425
5702,25612
2277,27803
5952,25516
3234,25106
11021,16284
3498,24937
5556,25240
5706,25846
7019,20053
401,29411
6651,22614
7918,17950
5735,24728
9535,18772
10319,17624
3403,25370
5809,24524
3883,26675
5120,28679
10697,16236
5123,28679
1573,26532
12532,20110
8388,19348
2423,26150
7573,20068
11564,18377
6853,22002
6310,23202
12794,22532
10599,16525
9763,19366
11652,18018
8122,14955
809,26690
9901,18467
2650,24518
5380,27628
13344,23728
10480,16293
3190,25567
3620,23578
1702,27186
10155,18313
5361,27144
3650,23385
12497,19815
12934,23502
12910,24220
11376,18519
3370,25365
12654,19977
10379,17593
5405,25231
9158,19755
8360,18901
11159,17002
11423,19749
7963,17289
12401,19782
9133,20017
664,28115
10192,17686
7936,17496
12122,17587
3347,24351
1568,26557
462,28792
743,27282
222,28369
8826,19892
3994,26676
9617,19396
12077,17778
625,29658
9581,18435
8231,18059
10782,16205
11716,17611
11478,18782
6825,22002
4449,30619
7481,20247
456,28678
10806,15733
8285,17478
4335,30081
2621,24559
6454,24075
6821,22091
6632,23574
10046,18169
8579,21686
9159,19683
1760,26986
842,27001
12306,23128
11436,19210
12381,19499
2902,22810
8983,19715
9286,19680
5524,26199
5900,26125
5981,25008
9383,19038
7868,18624
6735,20974
3431,25492
12692,20115
8066,16373
11736,17690
7831,19298
5803,24484
8085,15048
6885,22338
13386,23070
7765,19878
13061,23194
8925,19230
9566,19028
9621,19413
368,28921
11295,17326
3593,24289
1415,27059
10665,16253
13354,23502
12584,19276
5508,26533
8104,15623
6505,23692
1721,27611
8083,15224
4060,26527
