,target
12832,23238
9671,18612
8986,19837
712,27604
4279,28481
7515,20573
13392,23375
1822,26441
8420,19385
9862,17655
6073,25586
11741,17749
10731,15283
5268,28036
1977,27760
10659,16585
3264,24724
6104,24923
252,28510
7551,20649
2098,28666
5834,23915
10140,17857
3671,23476
6138,24163
9724,20012
12628,19286
12438,20708
5151,28509
7300,21206
5163,28457
8940,19406
10633,16696
7412,21479
4833,28536
10398,17702
8380,19786
5286,27896
13319,23265
6827,21894
9809,18680
5701,25641
56,26606
3412,24688
11819,17802
2855,24329
4991,28001
2986,24909
8251,17662
5015,28332
8898,19413
6834,21363
10558,16660
12532,20110
9189,19624
2188,27125
6876,21801
4049,26880
10400,17754
4885,29140
7779,19379
12527,20129
3544,24433
519,30084
6201,24013
11444,19256
13164,21230
9753,19477
227,27826
6890,22631
10714,16165
6572,24881
7047,20710
12518,19881
13251,22875
1699,27167
13326,23240
11629,18043
1877,26429
513,30204
6494,24384
12469,20021
11335,18272
5549,25779
9937,18424
9526,18939
4786,28840
6333,23052
2916,22796
480,29634
6759,19248
7213,21148
2577,23453
8052,16688
12140,17357
6857,22191
10064,17568
5436,26145
11085,16551
1596,26735
10447,17072
3896,26285
9460,19974
1349,26476
10407,17692
9231,19829
3777,24670
13154,21463
10345,17583
7946,17169
7699,19710
9421,19349
10218,17005
6151,23678
10936,16669
2762,23696
13177,21520
11762,17748
3685,23891
3602,24401
13014,23680
10033,17644
1446,26575
4960,27905
1020,28498
705,27732
10606,16769
1866,26868
5933,26154
5263,28086
11438,19219
10496,16247
2574,23447
10827,15681
2956,24261
3742,24102
3914,26080
9573,18732
1419,27003
1103,28454
8364,19306
6325,23132
1558,25774
10842,15548
5714,25429
10264,17086
11460,18638
3523,24598
7550,20665
3400,25281
12980,24675
6319,23362
11898,17191
5531,26109
5838,23944
2652,24357
10243,17442
8661,22054
10866,15953
10910,16207
10542,16402
292,28737
2836,23476
9808,18661
10783,16234
10347,17430
2870,23798
12399,19817
5805,24430
9440,19535
5751,23833
6500,24454
1318,25818
2730,24298
5058,29192
9336,18755
8094,15150
7958,17105
12229,18437
2228,26919
12664,20160
4418,29290
11544,18361
9626,19455
4755,29016
5538,25628
356,28485
10005,18023
11537,18147
837,27122
266,28557
2006,27840
4862,28897
12779,22241
2362,26667
8624,22653
11028,16345
13220,21941
10330,17262
826,27545
8726,21176
4253,28075
4861,28873
11927,16968
6729,20519
1441,26401
3066,25003
8622,22617
2748,24736
5960,25506
10887,16006
3061,24704
11586,18308
7044,20731
11220,16675
1963,27704
3125,26331
4731,28526
11373,18443
1127,28059
8211,17696
10560,16633
5140,28805
8701,21246
5643,26034
9263,19959
4985,28056
1543,25700
3263,24781
7514,20627
8744,20819
2268,27540
7862,18772
5664,26135
10679,16145
132,27181
8371,19516
10471,16714
603,29482
13158,20908
7628,20017
393,29327
12268,21436
4851,29015
10062,17515
3928,26480
10675,16189
7325,21180
11621,17916
10431,17478
5804,24378
2277,27803
10741,15390
3234,25106
10964,16765
3498,24937
6962,20984
7747,20008
13188,22148
401,29411
7665,20011
4828,28607
5681,26096
9489,19241
10270,17084
3403,25370
7153,20531
3883,26675
5071,29310
8430,19454
5473,26122
1573,26532
12471,19910
9216,20133
2423,26150
7506,20896
11802,18293.4
6791,21425
12440,20500
11853,17722
12473,19909
4684,27950
11594,18369
9856,17814
809,26690
9854,17691
2650,24518
5327,27918
13281,22993
10430,17527
3190,25567
3620,23578
1702,27186
13167,21408
7078,19774
3650,23385
6182,23604
12873,23650
6193,23270
11318,17695
3370,25365
12593,19291
9722,20173
7435,21740
9112,20570
8317,18946
9983,18031
8346,19371
5790,24583
11031,16395
11497,18326
664,28115
9445,19436
11908,17046
6929,21068
3347,24351
1568,26557
462,28792
743,27282
222,28369
12346,19146
3994,26676
7403,21907
7824,18845
625,29658
9535,18772
9845,17745
13191,22116
7247,21787
5421,26069
8327,18869
4449,30619
7416,21490
456,28678
10753,14978
8243,18003
4335,30081
2621,24559
8375,19915
9690,19375
10892,16029
10411,17915
9113,20430
1760,26986
842,27001
11775,17534
11378,18635
5224,29225
2902,22810
8939,19531
4808,28988
9293,19505
11727,17630
10609,16733
8670,21929
7800,19205
11331,18119
3431,25492
12631,19320
7995,17264
11678,18173
12146,17154
5747,24064
8013,16740
12151,17216
8541,21384
5598,25416
9148,19632
4826,28764
9016,20308
9575,18597
368,28921
11237,16270
3593,24289
1415,27059
6505,23692
13291,23052
12708,20137
6550,24828
5564,24859
6508,23878
1721,27611
10897,16344
4060,26527
12920,24560
1824,26535
13316,23195
5687,25668
10782,16205
8406,19742
3232,25600
1918,26485
12914,24279
1569,26557
7171,20101
347,28282
1242,26241
6223,24108
8469,20032
10118,17303
8309,18293
7224,21040
13146,21453
12659,20298
