,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
875,2019-06-18 21:00:00+08:00,27550,27989,27549,27981,9440641,HSI,^HSI,5834885514260861903,2025-06-03 12:25:11.232890+08:00,己亥,辛丑,丙申,甲午,庚午,甲寅,己未,乙亥,己亥,辛寅,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
876,2019-06-18 23:00:00+08:00,27981,28000,27881,27894,7655870,HSI,^HSI,6232156244665739720,2025-06-03 12:25:11.232890+08:00,壬子,丁亥,壬午,丁未,庚午,甲寅,己未,乙亥,壬子,壬戌,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
877,2019-06-19 01:00:00+08:00,27893,27944,27864,27913,3749867,HSI,^HSI,3734850599229295556,2025-06-03 12:25:11.232890+08:00,辛丑,丁亥,壬午,丙申,庚午,甲寅,己未,乙亥,辛丑,丁戌,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
878,2019-06-19 09:00:00+08:00,27941,28197,27934,28045,2377692,HSI,^HSI,3408293195703974264,2025-06-03 12:25:11.232890+08:00,乙巳,丁亥,壬午,庚子,庚午,甲寅,己未,乙亥,乙巳,丁子,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
879,2019-06-19 11:00:00+08:00,28046,28109,28033,28088,2359712,HSI,^HSI,14263897119746496625,2025-06-03 12:25:11.232890+08:00,丙午,壬寅,丁酉,辛丑,庚午,甲寅,己未,乙亥,丙午,丁丑,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
880,2019-06-19 13:00:00+08:00,28086,28131,28051,28056,1351188,HSI,^HSI,6335595664613434009,2025-06-03 12:25:11.232890+08:00,丁未,壬寅,丁酉,壬寅,庚午,甲寅,己未,乙亥,丁未,壬丑,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
881,2019-06-19 15:00:00+08:00,28055,28154,28054,28146,2441309,HSI,^HSI,10429606212615727156,2025-06-03 12:25:11.232890+08:00,戊申,壬寅,丁酉,癸卯,庚午,甲寅,己未,乙亥,戊申,壬寅,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
882,2019-06-19 17:00:00+08:00,28146,28155,28103,28121,2205825,HSI,^HSI,7895734233342936662,2025-06-03 12:25:11.232890+08:00,己酉,壬寅,丁酉,甲辰,庚午,甲寅,己未,乙亥,己酉,壬寅,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
883,2019-06-19 19:00:00+08:00,28121,28179,28107,28169,3057558,HSI,^HSI,10908728450471474046,2025-06-03 12:25:11.232890+08:00,庚戌,壬寅,丁酉,乙巳,庚午,甲寅,己未,乙亥,庚戌,壬卯,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
884,2019-06-19 21:00:00+08:00,28167,28173,28080,28108,6328020,HSI,^HSI,8975412804960413945,2025-06-03 12:25:11.232890+08:00,辛亥,壬寅,丁酉,丙午,庚午,甲寅,己未,乙亥,辛亥,壬卯,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
885,2019-06-19 23:00:00+08:00,28108,28145,28095,28101,9127892,HSI,^HSI,4996312385237232417,2025-06-03 12:25:11.232890+08:00,甲子,戊子,癸未,己未,庚午,甲寅,己未,乙亥,甲子,癸亥,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
886,2019-06-20 01:00:00+08:00,28098,28302,28093,28257,7564317,HSI,^HSI,4464644550518559106,2025-06-03 12:25:11.232890+08:00,癸丑,戊子,癸未,戊申,庚午,甲寅,己未,乙亥,癸丑,戊亥,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
887,2019-06-20 09:00:00+08:00,28320,28418,28190,28332,1587882,HSI,^HSI,11885161874012922482,2025-06-03 12:25:11.232890+08:00,丁巳,戊子,癸未,壬子,庚午,甲寅,己未,乙亥,丁巳,戊丑,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
888,2019-06-20 11:00:00+08:00,28332,28431,28329,28411,4745374,HSI,^HSI,1766393626310371004,2025-06-03 12:25:11.232890+08:00,戊午,癸卯,戊戌,癸丑,庚午,甲寅,己未,乙亥,戊午,戊寅,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
889,2019-06-20 13:00:00+08:00,28410,28425,28328,28403,9206506,HSI,^HSI,9635068439975547707,2025-06-03 12:25:11.232890+08:00,己未,癸卯,戊戌,甲寅,庚午,甲寅,己未,乙亥,己未,癸寅,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
890,2019-06-20 15:00:00+08:00,28402,28519,28402,28515,4872977,HSI,^HSI,16693413274142320548,2025-06-03 12:25:11.232890+08:00,庚申,癸卯,戊戌,乙卯,庚午,甲寅,己未,乙亥,庚申,癸卯,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
891,2019-06-20 17:00:00+08:00,28519,28597,28519,28580,2000333,HSI,^HSI,3980384291706316292,2025-06-03 12:25:11.232890+08:00,辛酉,癸卯,戊戌,丙辰,庚午,甲寅,己未,乙亥,辛酉,癸卯,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
892,2019-06-20 19:00:00+08:00,28579,28654,28570,28635,1468164,HSI,^HSI,15125683745725276640,2025-06-03 12:25:11.232890+08:00,壬戌,癸卯,戊戌,丁巳,庚午,甲寅,己未,乙亥,壬戌,癸辰,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
893,2019-06-20 21:00:00+08:00,28634,28688,28547,28550,6539455,HSI,^HSI,2324824229545436126,2025-06-03 12:25:11.232890+08:00,癸亥,癸卯,戊戌,戊午,庚午,甲寅,己未,乙亥,癸亥,癸辰,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
894,2019-06-20 23:00:00+08:00,28550,28581,28440,28511,5087555,HSI,^HSI,12499913917980642645,2025-06-03 12:25:11.232890+08:00,丙子,己丑,甲申,辛未,庚午,甲寅,己未,乙亥,丙子,甲子,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
895,2019-06-21 01:00:00+08:00,28513,28554,28502,28518,7394317,HSI,^HSI,2706118485399400253,2025-06-03 12:25:11.232890+08:00,乙丑,己丑,甲申,庚申,庚午,甲寅,己未,乙亥,乙丑,己子,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
896,2019-06-21 09:00:00+08:00,28500,28533,28373,28440,4036092,HSI,^HSI,6818291666926955657,2025-06-03 12:25:11.232890+08:00,己巳,己丑,甲申,甲子,庚午,甲寅,己未,乙亥,己巳,己寅,壬午,己丑,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
