,time,Open,High,Low,Close,stock_code,ric_code,uuid,last_modified_date
1682,2019-10-28 15:00:00+08:00,26919,26931,26887,26914,HSI,^HSI,7982153312027838269,2025-06-04 01:47:50.689417+08:00
1688,2019-10-29 09:00:00+08:00,27050,27078,26856,26882,HSI,^HSI,16120090694022134029,2025-06-04 01:47:50.689417+08:00
1689,2019-10-29 11:00:00+08:00,26881,26884,26795,26806,HSI,^HSI,14658378199191036509,2025-06-04 01:47:50.689417+08:00
1690,2019-10-29 13:00:00+08:00,26804,26807,26733,26783,HSI,^HSI,12236550151552126075,2025-06-04 01:47:50.689417+08:00
1691,2019-10-29 15:00:00+08:00,26783,26815,26717,26726,HSI,^HSI,15004080113220591134,2025-06-04 01:47:50.689417+08:00
1697,2019-10-30 09:00:00+08:00,26770,26824,26632,26713,HSI,^HSI,16586220471057249841,2025-06-04 01:47:50.689417+08:00
1698,2019-10-30 11:00:00+08:00,26711,26755,26688,26725,HSI,^HSI,1583611751850377112,2025-06-04 01:47:50.689417+08:00
1699,2019-10-30 13:00:00+08:00,26726,26735,26625,26665,HSI,^HSI,3666137472808460966,2025-06-04 01:47:50.689417+08:00
1700,2019-10-30 15:00:00+08:00,26665,26679,26628,26631,HSI,^HSI,8367680947993883625,2025-06-04 01:47:50.689417+08:00
1706,2019-10-31 09:00:00+08:00,26720,26986,26693,26953,HSI,^HSI,17737255956335659938,2025-06-04 01:47:50.689417+08:00
1707,2019-10-31 11:00:00+08:00,26953,27042,26938,26980,HSI,^HSI,6206941189266547686,2025-06-04 01:47:50.689417+08:00
1708,2019-10-31 13:00:00+08:00,26980,27001,26839,26866,HSI,^HSI,11489120269298148806,2025-06-04 01:47:50.689417+08:00
1709,2019-10-31 15:00:00+08:00,26867,26986,26863,26984,HSI,^HSI,10172613996949470158,2025-06-04 01:47:50.689417+08:00
1715,2019-11-01 09:00:00+08:00,26800,27038,26751,27017,HSI,^HSI,8552985581964690947,2025-06-04 01:47:50.689417+08:00
1716,2019-11-01 11:00:00+08:00,27018,27090,26991,27055,HSI,^HSI,7787369207710972799,2025-06-04 01:47:50.689417+08:00
1717,2019-11-01 13:00:00+08:00,27042,27127,27020,27112,HSI,^HSI,236739797837080955,2025-06-04 01:47:50.689417+08:00
1718,2019-11-01 15:00:00+08:00,27111,27150,27061,27148,HSI,^HSI,17993328818137519694,2025-06-04 01:47:50.689417+08:00
1724,2019-11-04 09:00:00+08:00,27231,27543,27228,27524,HSI,^HSI,5697179114447432909,2025-06-04 01:47:50.689417+08:00
1725,2019-11-04 11:00:00+08:00,27526,27535,27471,27507,HSI,^HSI,15210409512169105823,2025-06-04 01:47:50.689417+08:00
1726,2019-11-04 13:00:00+08:00,27500,27541,27454,27536,HSI,^HSI,4436019421138127715,2025-06-04 01:47:50.689417+08:00
1727,2019-11-04 15:00:00+08:00,27536,27609,27502,27607,HSI,^HSI,2875488927309739654,2025-06-04 01:47:50.689417+08:00
1733,2019-11-05 09:00:00+08:00,27622,27650,27457,27641,HSI,^HSI,3567736882583835076,2025-06-04 01:47:50.689417+08:00
1734,2019-11-05 11:00:00+08:00,27641,27729,27641,27729,HSI,^HSI,4135613237074102686,2025-06-04 01:47:50.689417+08:00
1735,2019-11-05 13:00:00+08:00,27729,27763,27630,27669,HSI,^HSI,15087960161401264061,2025-06-04 01:47:50.689417+08:00
1736,2019-11-05 15:00:00+08:00,27667,27689,27632,27685,HSI,^HSI,5706608305825491818,2025-06-04 01:47:50.689417+08:00
1742,2019-11-06 09:00:00+08:00,27648,27671,27544,27611,HSI,^HSI,16831613422609350366,2025-06-04 01:47:50.689417+08:00
1743,2019-11-06 11:00:00+08:00,27612,27738,27611,27684,HSI,^HSI,2163771722462672402,2025-06-04 01:47:50.689417+08:00
1744,2019-11-06 13:00:00+08:00,27684,27796,27676,27744,HSI,^HSI,16359154140310940617,2025-06-04 01:47:50.689417+08:00
1745,2019-11-06 15:00:00+08:00,27745,27757,27660,27741,HSI,^HSI,15546247721395936145,2025-06-04 01:47:50.689417+08:00
1751,2019-11-07 09:00:00+08:00,27650,27731,27541,27640,HSI,^HSI,4420587362948372271,2025-06-04 01:47:50.689417+08:00
1752,2019-11-07 11:00:00+08:00,27640,27642,27564,27600,HSI,^HSI,4143201721371495954,2025-06-04 01:47:50.689417+08:00
1753,2019-11-07 13:00:00+08:00,27600,27646,27580,27625,HSI,^HSI,12734118849339258521,2025-06-04 01:47:50.689417+08:00
1754,2019-11-07 15:00:00+08:00,27626,27949,27600,27828,HSI,^HSI,17886862329336997693,2025-06-04 01:47:50.689417+08:00
1760,2019-11-08 09:00:00+08:00,27870,27881,27674,27723,HSI,^HSI,11211939645475036940,2025-06-04 01:47:50.689417+08:00
1761,2019-11-08 11:00:00+08:00,27723,27796,27701,27728,HSI,^HSI,15555247654585077334,2025-06-04 01:47:50.689417+08:00
1762,2019-11-08 13:00:00+08:00,27728,27728,27624,27660,HSI,^HSI,1532758252593676273,2025-06-04 01:47:50.689417+08:00
1763,2019-11-08 15:00:00+08:00,27660,27691,27591,27680,HSI,^HSI,13358218110353398089,2025-06-04 01:47:50.689417+08:00
1769,2019-11-11 09:00:00+08:00,27489,27490,26983,27035,HSI,^HSI,901833102698726102,2025-06-04 01:47:50.689417+08:00
1770,2019-11-11 11:00:00+08:00,27036,27094,27000,27033,HSI,^HSI,11517624168538288973,2025-06-04 01:47:50.689417+08:00
1771,2019-11-11 13:00:00+08:00,27032,27043,26808,26875,HSI,^HSI,4594453879206600883,2025-06-04 01:47:50.689417+08:00
1772,2019-11-11 15:00:00+08:00,26875,27010,26841,26994,HSI,^HSI,3136725993336839245,2025-06-04 01:47:50.689417+08:00
1778,2019-11-12 09:00:00+08:00,27124,27129,26830,26857,HSI,^HSI,7868086345563033065,2025-06-04 01:47:50.689417+08:00
1779,2019-11-12 11:00:00+08:00,26855,26971,26776,26971,HSI,^HSI,15356057619707098274,2025-06-04 01:47:50.689417+08:00
1780,2019-11-12 13:00:00+08:00,26972,27096,26925,27033,HSI,^HSI,604653284815243497,2025-06-04 01:47:50.689417+08:00
1781,2019-11-12 15:00:00+08:00,27033,27068,26968,26982,HSI,^HSI,4066791496925705503,2025-06-04 01:47:50.689417+08:00
1787,2019-11-13 09:00:00+08:00,26748,26750,26455,26544,HSI,^HSI,10495009321266440574,2025-06-04 01:47:50.689417+08:00
1788,2019-11-13 11:00:00+08:00,26544,26665,26508,26560,HSI,^HSI,8725739297163364009,2025-06-04 01:47:50.689417+08:00
1789,2019-11-13 13:00:00+08:00,26562,26563,26444,26509,HSI,^HSI,4780901174594762102,2025-06-04 01:47:50.689417+08:00
1790,2019-11-13 15:00:00+08:00,26510,26571,26464,26487,HSI,^HSI,4559636397408497488,2025-06-04 01:47:50.689417+08:00
1796,2019-11-14 09:00:00+08:00,26424,26625,26268,26318,HSI,^HSI,12072454103056500759,2025-06-04 01:47:50.689417+08:00
1797,2019-11-14 11:00:00+08:00,26318,26382,26258,26305,HSI,^HSI,17891550440319793007,2025-06-04 01:47:50.689417+08:00
1798,2019-11-14 13:00:00+08:00,26305,26405,26222,26243,HSI,^HSI,12110669253251580354,2025-06-04 01:47:50.689417+08:00
1799,2019-11-14 15:00:00+08:00,26244,26360,26178,26328,HSI,^HSI,17168224897848126960,2025-06-04 01:47:50.689417+08:00
1805,2019-11-15 09:00:00+08:00,26488,26617,26348,26434,HSI,^HSI,16046866535823096903,2025-06-04 01:47:50.689417+08:00
1806,2019-11-15 11:00:00+08:00,26434,26446,26390,26391,HSI,^HSI,12236748183574987554,2025-06-04 01:47:50.689417+08:00
1807,2019-11-15 13:00:00+08:00,26398,26415,26315,26357,HSI,^HSI,8929480664225140062,2025-06-04 01:47:50.689417+08:00
1808,2019-11-15 15:00:00+08:00,26357,26375,26271,26280,HSI,^HSI,12777137889852038970,2025-06-04 01:47:50.689417+08:00
1814,2019-11-18 09:00:00+08:00,26318,26683,26314,26619,HSI,^HSI,1589283726707931836,2025-06-04 01:47:50.689417+08:00
1815,2019-11-18 11:00:00+08:00,26618,26643,26574,26598,HSI,^HSI,15828284280200641888,2025-06-04 01:47:50.689417+08:00
1816,2019-11-18 13:00:00+08:00,26597,26632,26462,26594,HSI,^HSI,8754875989091685147,2025-06-04 01:47:50.689417+08:00
1817,2019-11-18 15:00:00+08:00,26594,26705,26593,26682,HSI,^HSI,4927710676019830861,2025-06-04 01:47:50.689417+08:00
1823,2019-11-19 09:00:00+08:00,26514,26987,26500,26934,HSI,^HSI,7273106118140509366,2025-06-04 01:47:50.689417+08:00
1824,2019-11-19 11:00:00+08:00,26934,26946,26875,26940,HSI,^HSI,9359420570012455767,2025-06-04 01:47:50.689417+08:00
1825,2019-11-19 13:00:00+08:00,26938,27062,26925,27029,HSI,^HSI,15112407259304240223,2025-06-04 01:47:50.689417+08:00
1826,2019-11-19 15:00:00+08:00,27028,27106,27024,27079,HSI,^HSI,10784789500432982488,2025-06-04 01:47:50.689417+08:00
1833,2019-11-20 09:00:00+08:00,26876,26955,26776,26894,HSI,^HSI,5564892485978496472,2025-06-04 01:47:50.689417+08:00
1834,2019-11-20 11:00:00+08:00,26894,26927,26878,26904,HSI,^HSI,6251431897530462175,2025-06-04 01:47:50.689417+08:00
1835,2019-11-20 13:00:00+08:00,26904,26961,26848,26879,HSI,^HSI,10245515579928691240,2025-06-04 01:47:50.689417+08:00
1836,2019-11-20 15:00:00+08:00,26880,26920,26803,26803,HSI,^HSI,15768309119455190989,2025-06-04 01:47:50.689417+08:00
1842,2019-11-21 09:00:00+08:00,26562,26596,26266,26505,HSI,^HSI,16681791740098141441,2025-06-04 01:47:50.689417+08:00
1843,2019-11-21 11:00:00+08:00,26506,26518,26424,26436,HSI,^HSI,14987594786350266688,2025-06-04 01:47:50.689417+08:00
1844,2019-11-21 13:00:00+08:00,26436,26477,26414,26451,HSI,^HSI,10150832556236773361,2025-06-04 01:47:50.689417+08:00
1845,2019-11-21 15:00:00+08:00,26452,26515,26434,26441,HSI,^HSI,15604140462991824935,2025-06-04 01:47:50.689417+08:00
1851,2019-11-22 09:00:00+08:00,26603,26675,26502,26523,HSI,^HSI,9924384183591928125,2025-06-04 01:47:50.689417+08:00
1852,2019-11-22 11:00:00+08:00,26523,26546,26473,26529,HSI,^HSI,2360058919748905486,2025-06-04 01:47:50.689417+08:00
1853,2019-11-22 13:00:00+08:00,26529,26563,26480,26517,HSI,^HSI,11811246937019571773,2025-06-04 01:47:50.689417+08:00
1854,2019-11-22 15:00:00+08:00,26517,26645,26508,26623,HSI,^HSI,12500706432050066993,2025-06-04 01:47:50.689417+08:00
1860,2019-11-25 09:00:00+08:00,26631,27141,26631,27072,HSI,^HSI,11688894395744536797,2025-06-04 01:47:50.689417+08:00
1861,2019-11-25 11:00:00+08:00,27071,27103,27051,27077,HSI,^HSI,9925486312425712898,2025-06-04 01:47:50.689417+08:00
1862,2019-11-25 13:00:00+08:00,27078,27079,27004,27052,HSI,^HSI,5501496467927723479,2025-06-04 01:47:50.689417+08:00
1863,2019-11-25 15:00:00+08:00,27052,27060,26930,27025,HSI,^HSI,4707710255412368833,2025-06-04 01:47:50.689417+08:00
1869,2019-11-26 09:00:00+08:00,27180,27267,26943,26991,HSI,^HSI,9772791736940771392,2025-06-04 01:47:50.689417+08:00
1870,2019-11-26 11:00:00+08:00,26992,27022,26952,26971,HSI,^HSI,455396130019480996,2025-06-04 01:47:50.689417+08:00
1871,2019-11-26 13:00:00+08:00,26981,27032,26932,26975,HSI,^HSI,5804689035323736661,2025-06-04 01:47:50.689417+08:00
1872,2019-11-26 15:00:00+08:00,26975,27004,26923,26980,HSI,^HSI,3386445089232671401,2025-06-04 01:47:50.689417+08:00
1878,2019-11-27 09:00:00+08:00,27015,27017,26876,26940,HSI,^HSI,8523643766054631306,2025-06-04 01:47:50.689417+08:00
1879,2019-11-27 11:00:00+08:00,26941,26978,26924,26931,HSI,^HSI,12090858008169355444,2025-06-04 01:47:50.689417+08:00
1880,2019-11-27 13:00:00+08:00,26931,26953,26888,26951,HSI,^HSI,7742240483695919519,2025-06-04 01:47:50.689417+08:00
1881,2019-11-27 15:00:00+08:00,26952,26980,26934,26954,HSI,^HSI,17322676361634474787,2025-06-04 01:47:50.689417+08:00
1887,2019-11-28 09:00:00+08:00,26797,27058,26793,27000,HSI,^HSI,854653104445949035,2025-06-04 01:47:50.689417+08:00
1888,2019-11-28 11:00:00+08:00,26999,27015,26960,26962,HSI,^HSI,7324102663311790875,2025-06-04 01:47:50.689417+08:00
1889,2019-11-28 13:00:00+08:00,26961,26983,26904,26969,HSI,^HSI,16175822754800256446,2025-06-04 01:47:50.689417+08:00
1890,2019-11-28 15:00:00+08:00,26970,26973,26868,26868,HSI,^HSI,17557442700110766586,2025-06-04 01:47:50.689417+08:00
1896,2019-11-29 09:00:00+08:00,26897,26897,26419,26457,HSI,^HSI,10551745966877704975,2025-06-04 01:47:50.689417+08:00
1897,2019-11-29 11:00:00+08:00,26457,26457,26344,26394,HSI,^HSI,9906038807642672513,2025-06-04 01:47:50.689417+08:00
